A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V
97.23,0.188,0.326,0.308,0.281,0.368,0.311,0.26,0.315,0.639,0.323,0.106,0.17,0.188,0.188,0.138,0.137,0.138,0.142,0.135,0.109,Govardhan
97.17,0.183,0.319,0.303,0.277,0.363,0.308,0.255,0.31,0.628,0.32,0.104,0.166,0.183,0.183,0.136,0.133,0.137,0.14,0.131,0.108,Govardhan
97.2,0.184,0.315,0.3,0.276,0.36,0.305,0.256,0.306,0.634,0.329,0.103,0.165,0.182,0.184,0.134,0.133,0.135,0.137,0.13,0.106,Govardhan
97.14,0.183,0.318,0.302,0.277,0.363,0.306,0.253,0.31,0.639,0.327,0.104,0.165,0.181,0.183,0.134,0.133,0.135,0.137,0.13,0.106,Govardhan
97.12,0.182,0.315,0.297,0.272,0.358,0.304,0.252,0.309,0.625,0.316,0.103,0.163,0.181,0.182,0.132,0.132,0.134,0.136,0.13,0.106,Govardhan
97.09,0.183,0.315,0.299,0.273,0.36,0.305,0.251,0.305,0.626,0.319,0.102,0.166,0.183,0.183,0.133,0.131,0.133,0.135,0.129,0.105,Govardhan
97.23,0.183,0.32,0.303,0.277,0.363,0.309,0.255,0.305,0.622,0.316,0.103,0.166,0.183,0.183,0.135,0.133,0.135,0.139,0.13,0.107,Govardhan
97.2,0.183,0.32,0.305,0.279,0.365,0.309,0.254,0.306,0.62,0.316,0.103,0.166,0.184,0.183,0.136,0.133,0.136,0.14,0.131,0.107,Govardhan
97.12,0.183,0.32,0.304,0.277,0.362,0.305,0.252,0.315,0.637,0.324,0.103,0.165,0.183,0.183,0.134,0.133,0.135,0.137,0.131,0.107,Govardhan
97.03,0.184,0.318,0.3,0.28,0.36,0.305,0.255,0.309,0.629,0.32,0.1,0.167,0.184,0.184,0.133,0.132,0.132,0.136,0.128,0.105,Govardhan
97.04,0.183,0.317,0.302,0.281,0.362,0.308,0.251,0.309,0.64,0.334,0.104,0.164,0.181,0.183,0.134,0.131,0.132,0.136,0.128,0.104,Govardhan
97.05,0.183,0.316,0.301,0.28,0.363,0.307,0.254,0.31,0.645,0.336,0.105,0.162,0.18,0.183,0.134,0.131,0.132,0.134,0.125,0.102,Govardhan
97.06,0.182,0.309,0.295,0.278,0.357,0.302,0.242,0.314,0.642,0.33,0.101,0.162,0.18,0.182,0.129,0.127,0.13,0.131,0.124,0.1,Govardhan
97.09,0.194,0.32,0.302,0.278,0.366,0.31,0.255,0.331,0.695,0.368,0.105,0.17,0.186,0.194,0.134,0.132,0.132,0.135,0.126,0.104,Govardhan
97.46,0.193,0.312,0.297,0.272,0.361,0.305,0.253,0.325,0.678,0.356,0.104,0.172,0.188,0.193,0.132,0.13,0.131,0.134,0.126,0.104,Govardhan
97.46,0.184,0.313,0.297,0.272,0.36,0.303,0.253,0.319,0.642,0.328,0.101,0.167,0.183,0.184,0.132,0.131,0.132,0.135,0.126,0.104,Govardhan
97.58,0.188,0.314,0.299,0.274,0.365,0.308,0.257,0.32,0.65,0.332,0.105,0.167,0.185,0.188,0.132,0.132,0.131,0.136,0.126,0.104,Govardhan
97.56,0.195,0.319,0.302,0.278,0.365,0.308,0.257,0.327,0.678,0.353,0.106,0.172,0.19,0.195,0.134,0.132,0.132,0.135,0.127,0.106,Govardhan
97.5,0.187,0.314,0.298,0.272,0.362,0.305,0.254,0.324,0.654,0.334,0.102,0.17,0.186,0.187,0.133,0.132,0.132,0.135,0.126,0.104,Govardhan
97.83,0.189,0.321,0.303,0.277,0.367,0.311,0.259,0.322,0.649,0.328,0.105,0.171,0.188,0.189,0.135,0.133,0.135,0.139,0.132,0.108,Govardhan
97.49,0.192,0.319,0.301,0.277,0.364,0.306,0.254,0.325,0.664,0.339,0.101,0.173,0.188,0.192,0.134,0.132,0.132,0.135,0.128,0.105,Govardhan
97.45,0.192,0.318,0.302,0.274,0.371,0.313,0.257,0.325,0.668,0.345,0.102,0.168,0.187,0.192,0.136,0.133,0.133,0.136,0.13,0.106,Govardhan
97.04,0.188,0.319,0.301,0.272,0.365,0.309,0.257,0.324,0.664,0.342,0.105,0.17,0.186,0.188,0.134,0.134,0.135,0.138,0.132,0.107,Govardhan
97.02,0.187,0.318,0.301,0.273,0.364,0.308,0.254,0.328,0.663,0.336,0.103,0.172,0.187,0.187,0.134,0.133,0.134,0.138,0.132,0.107,Govardhan
97.12,0.188,0.319,0.302,0.275,0.365,0.308,0.255,0.324,0.656,0.334,0.104,0.172,0.188,0.188,0.135,0.133,0.134,0.138,0.131,0.107,Govardhan
97.12,0.192,0.321,0.303,0.273,0.363,0.308,0.255,0.322,0.646,0.329,0.102,0.174,0.189,0.192,0.135,0.133,0.135,0.14,0.132,0.108,Govardhan
97.22,0.199,0.32,0.304,0.275,0.372,0.313,0.26,0.327,0.675,0.35,0.107,0.176,0.195,0.199,0.136,0.133,0.134,0.136,0.129,0.106,Govardhan
97.1,0.196,0.313,0.297,0.268,0.364,0.307,0.258,0.337,0.675,0.338,0.102,0.172,0.193,0.196,0.133,0.132,0.133,0.135,0.128,0.106,Govardhan
97.35,0.194,0.325,0.308,0.277,0.381,0.321,0.263,0.331,0.669,0.34,0.108,0.173,0.192,0.194,0.138,0.138,0.137,0.14,0.132,0.109,Govardhan
97.03,0.203,0.32,0.302,0.274,0.374,0.316,0.263,0.346,0.707,0.363,0.105,0.181,0.199,0.203,0.135,0.134,0.134,0.138,0.132,0.11,Govardhan
97.01,0.199,0.318,0.302,0.271,0.374,0.317,0.264,0.34,0.691,0.354,0.106,0.179,0.196,0.199,0.135,0.134,0.134,0.138,0.131,0.109,Govardhan
97.25,0.205,0.326,0.308,0.276,0.377,0.318,0.261,0.347,0.704,0.359,0.107,0.185,0.202,0.205,0.137,0.135,0.135,0.139,0.132,0.11,Govardhan
97.13,0.199,0.316,0.298,0.268,0.373,0.315,0.261,0.334,0.681,0.348,0.106,0.18,0.197,0.199,0.133,0.133,0.133,0.136,0.131,0.107,Govardhan
97.27,0.197,0.316,0.299,0.267,0.369,0.313,0.26,0.331,0.659,0.33,0.104,0.181,0.196,0.197,0.136,0.134,0.134,0.139,0.132,0.11,Govardhan
97.42,0.196,0.321,0.302,0.27,0.372,0.314,0.262,0.329,0.663,0.336,0.104,0.176,0.192,0.196,0.136,0.134,0.134,0.14,0.133,0.112,Govardhan
97.38,0.196,0.321,0.301,0.271,0.371,0.314,0.262,0.327,0.656,0.33,0.105,0.177,0.193,0.196,0.136,0.134,0.135,0.139,0.133,0.11,Govardhan
97.14,0.201,0.32,0.3,0.27,0.371,0.313,0.26,0.327,0.667,0.341,0.104,0.181,0.197,0.201,0.136,0.134,0.134,0.139,0.132,0.11,Govardhan
97.06,0.195,0.318,0.301,0.266,0.367,0.311,0.258,0.325,0.667,0.343,0.105,0.174,0.191,0.195,0.134,0.134,0.134,0.139,0.132,0.108,Govardhan
97.03,0.197,0.32,0.302,0.274,0.373,0.314,0.26,0.328,0.717,0.395,0.11,0.171,0.186,0.197,0.137,0.133,0.133,0.137,0.128,0.106,Govardhan
97.05,0.194,0.313,0.297,0.27,0.361,0.306,0.253,0.327,0.675,0.351,0.104,0.173,0.189,0.194,0.132,0.132,0.132,0.135,0.127,0.106,Govardhan
97.12,0.19,0.321,0.303,0.274,0.367,0.311,0.26,0.326,0.647,0.326,0.104,0.173,0.187,0.19,0.135,0.134,0.136,0.139,0.132,0.107,Govardhan
97.26,0.188,0.32,0.304,0.281,0.368,0.311,0.257,0.313,0.632,0.321,0.103,0.166,0.181,0.188,0.135,0.135,0.134,0.138,0.13,0.106,Govardhan
97.47,0.189,0.326,0.311,0.286,0.373,0.314,0.263,0.315,0.631,0.316,0.105,0.17,0.188,0.189,0.138,0.136,0.138,0.142,0.134,0.109,Govardhan
97.35,0.189,0.32,0.303,0.277,0.366,0.31,0.253,0.317,0.654,0.34,0.103,0.167,0.185,0.189,0.136,0.133,0.134,0.136,0.129,0.105,Govardhan
97.45,0.186,0.316,0.3,0.269,0.361,0.305,0.249,0.321,0.666,0.344,0.104,0.167,0.181,0.186,0.132,0.132,0.134,0.137,0.13,0.106,Govardhan
97.61,0.187,0.317,0.302,0.274,0.36,0.305,0.25,0.318,0.667,0.35,0.104,0.169,0.185,0.187,0.132,0.133,0.135,0.139,0.131,0.108,Govardhan
97.57,0.182,0.316,0.3,0.277,0.359,0.305,0.252,0.302,0.637,0.337,0.106,0.164,0.179,0.182,0.134,0.133,0.135,0.137,0.129,0.105,Govardhan
